"visitor","day_pass","season_ticket","domestic","state","country","gender","age","maine_res","stay_four","payment_method","ice_cream_purch","ice_cream_flavor","sky_chair","ferris_wheel","lobster_claw","lobster_junior","merch_spend","lobsterama_spend"
1,1,"No",1,"NY","USA",0,32,"No",1,0,1,"Vanilla",1,0,0,1,34.5296112564935,24.95
2,0,"Yes",1,"Other","USA",1,43,"No",1,0,1,"Chocolate",0,0,1,0,23.811134636893,16.58
3,1,"No",1,"ME","USA",1,28,"Yes",1,0,0,"None",1,1,0,1,49.2319358898332,29.94
4,0,"Yes",1,"NH","USA",1,35,"No",0,0,0,"None",0,1,1,0,55.5087221825442,49.95
5,1,"No",0,"NaN","MEX",1,44,"No",1,0,1,"Vanilla",0,1,0,0,61.0198847221808,36.62
6,1,"No",1,"NY","USA",0,43,"No",0,0,1,"Chocolate",1,1,0,0,57.6488051311502,16.31
7,1,"No",1,"Other","USA",1,38,"No",0,0,0,"None",1,1,0,1,42.2301822067769,18.86
8,0,"Yes",1,"VT","USA",0,29,"No",1,0,0,"None",0,0,0,0,21.3622046836242,35.76
9,0,"Yes",1,"NH","USA",0,31,"No",0,0,0,"None",0,1,0,0,52.6820574370235,6.49
10,1,"No",1,"NH","USA",0,32,"No",0,0,1,"Chocolate",0,0,1,1,38.3493819639605,29.68
11,1,"No",0,"NaN","CAN",1,37,"No",1,0,1,"Vanilla",0,0,0,0,67.3889258273265,35.51
12,1,"No",1,"NY","USA",1,35,"No",1,0,0,"None",1,1,0,1,20.6622042231141,39.02
13,1,"No",0,"NaN","CHN",1,38,"No",1,0,0,"None",1,1,1,1,58.1180045980549,30.27
14,0,"Yes",1,"ME","USA",0,41,"Yes",0,0,1,"Chocolate",1,0,0,1,40.2390041865638,33.63
15,1,"No",0,"NaN","BRA",1,40,"No",1,0,1,"Vanilla",1,1,1,0,49.348396918509,28.4
16,1,"No",1,"ME","USA",1,45,"Yes",1,0,0,"None",0,0,1,0,39.9888371486845,29.41
17,1,"No",1,"NH","USA",0,38,"No",0,0,0,"None",1,1,0,0,26.2222021672155,18.03
18,1,"No",0,"NaN","CAN",0,31,"No",1,0,1,"Chocolate",1,0,1,1,58.2796103401976,29.02
19,1,"No",1,"MA","USA",1,34,"No",0,0,0,"None",1,0,0,1,44.0314014708806,28.03
20,1,"No",0,"NaN","FRA",1,51,"No",1,0,0,"None",1,1,0,1,64.17918571865,27.71
21,0,"Yes",1,"ME","USA",0,42,"Yes",1,0,1,"Vanilla",0,0,0,1,39.7881290930452,49.92
22,1,"No",0,"NaN","CAN",0,27,"No",1,0,1,"Chocolate",0,1,0,1,55.0416035405616,25.12
23,1,"No",1,"VT","USA",1,28,"No",0,0,0,"None",0,1,1,0,37.5999603229746,31.07
24,1,"No",1,"MA","USA",0,31,"No",0,0,0,"None",0,0,0,0,48.2203674372592,30.1
25,0,"Yes",1,"ME","USA",0,35,"Yes",0,0,0,"None",0,1,0,1,15.3878401737689,24.97
